fid,DOI,저자,연도,제목,데이터베이스,검토자1,검토자2,마지막검토일,중복여부,포함여부,배제사유키워드,배제사유내용,다음단계여부
793,10.1016/j.indic.2024.100475,"Mobarhan, M|Yeganeh, M|Motie, MB|Ahmadi, S",2024,Assessing the efficacy of green walls versus street green lanes in mitigating air pollution: A critical evaluation,N/A,,,,N,N,열환경지표아님(PM),도시지역에서 녹지 구성(그린월·가로수 등)을 비교했으나 결과변수가 PM 농도(대기오염)로서 도시 열환경 지표(지표온도·열섬·열쾌적 등)가 아니므로 제외,배제
794,10.1061/(ASCE)UP.1943-5444.0000266,"Xie, MM|Gao, Y|Cao, YK|Breuste, J|Fu, MC|Tong, D",2015,Dynamics and Temperature Regulation Function of Urban Green Connectivity,N/A,,,,Y,N,N/A,N/A,배제
795,10.3390/rs13194008,"Zhang, Q|Wu, ZX|Singh, VP|Liu, CL",2021,"Impacts of Spatial Configuration of Land Surface Features on Land Surface Temperature across Urban Agglomerations, China",N/A,,,,Y,N,N/A,N/A,배제
796,10.3390/rs12182876,"Terfa, BK|Chen, NC|Zhang, X|Niyogi, D",2020,"Spatial Configuration and Extent Explains the Urban Heat Mitigation Potential due to Green Spaces: Analysis over Addis Ababa, Ethiopia",N/A,,,,N,Y,N/A,N/A,진행
797,10.3390/rs11192322,"Wesley, EJ|Brunsell, NA",2019,Greenspace Pattern and the Surface Urban Heat Island: A Biophysically-Based Approach to Investigating the Effects of Urban Landscape Configuration,N/A,,,,Y,N,N/A,N/A,배제
798,10.1016/j.scs.2024.105605,"Zhang, H|Kang, MY|Guan, ZR|Zhou, R|Zhao, AL|Wu, WJ|Yang, HR",2024,"Assessing the role of urban green infrastructure in mitigating summertime Urban Heat Island (UHI) effect in metropolitan Shanghai, China",N/A,,,,N,Y,N/A,N/A,진행
799,10.1016/j.uclim.2023.101748,"Jiang, L|Xie, MM|Chen, B|Su, WX|Zhao, XM|Wu, RR",2024,"Key areas and measures to mitigate heat exposure risk in highly urbanized city: A case study of Beijing, China",N/A,,,,Y,N,N/A,N/A,배제
800,10.1016/j.uclim.2024.101820,"Chen, P",2024,Inequality in heat: The role of spatial patterns of urban green infrastructure,N/A,,,,Y,N,N/A,N/A,배제
801,10.1016/j.scitotenv.2016.10.195,"Estoque, RC|Murayama, Y|Myint, SW",2017,Effects of landscape composition and pattern on land surface temperature: An urban heat island study in the megacities of Southeast Asia,N/A,,,,Y,N,N/A,N/A,배제
802,10.3390/f15050878,"Zhang, MR|Wang, JG|Zhang, F",2024,The Influence of Spatial Heterogeneity of Urban Green Space on Surface Temperature,N/A,,,,Y,N,N/A,N/A,배제
803,10.1016/j.scs.2024.105945,"Yan, YX|Jian, WC|Wang, BY|Liu, ZC",2024,Multi-scale effects of LCZ and urban green infrastructure on diurnal land surface temperature dynamics,N/A,,,,N,Y,N/A,N/A,진행
804,10.3390/land13071043,"Zhang, JX|Zhao, JY|Pang, B|Liu, SS",2024,"Calculation of the Optimal Scale of Urban Green Space for Alleviating Surface Urban Heat Islands: A Case Study of Xi'an, China",N/A,,,,N,Y,N/A,N/A,진행
805,N/A,"Ersoy, E",2019,LANDSCAPE PATTERN AND URBAN COOLING ISLANDS,N/A,,,,N,Y,N/A,N/A,진행
806,10.3390/f15010197,"Jiang, MY|Shao, H|Zhu, XY|Li, Y",2024,Green Space Reverse Pixel Shuffle Network: Urban Green Space Segmentation Using Reverse Pixel Shuffle for Down-Sampling from High-Resolution Remote Sensing Images,N/A,,,,Y,N,N/A,N/A,배제
807,10.1016/j.scitotenv.2023.165563,"Xu, ZY|Zhao, SQ",2023,Scale dependence of urban green space cooling efficiency: A case study in Beijing metropolitan area,N/A,,,,Y,N,N/A,N/A,배제
808,10.1016/j.ufug.2025.129019,"Seo, J|Park, J",2025,"Spatiotemporal analysis of interactions between building configuration and urban green space on outdoor air temperature during heat waves: IoT sensor-based insights from Seoul, South Korea",N/A,,,,Y,N,N/A,N/A,배제
809,10.1016/j.scs.2022.104373,"Basu, T|Das, A",2023,Urbanization induced degradation of urban green space and its association to the land surface temperature in a medium-class city in India,N/A,,,,N,Y,N/A,N/A,진행
810,10.1016/j.landurbplan.2024.105121,"Beele, E|Aerts, R|Reyniers, M|Somers, B",2024,Spatial configuration of green space matters: Associations between urban land cover and air temperature,N/A,,,,N,Y,N/A,N/A,진행
811,10.1016/j.uclim.2025.102367,"Sun, XT|Fang, PF|Huang, SD|Liang, YY|Zhang, J|Wang, J",2025,Impact of urban green space morphology and vegetation composition on seasonal land surface temperature: a case study of Beijing's urban core,N/A,,,,Y,N,N/A,N/A,배제
812,10.3390/land12051076,"Delgado-Capel, MJ|Cariñanos, P|Escudero-Viñolo, M",2023,Capacity of Urban Green Infrastructure Spaces to Ameliorate Heat Wave Impacts in Mediterranean Compact Cities: Case Study of Granada (South-Eastern Spain),N/A,,,,Y,N,N/A,N/A,배제
813,10.1016/j.ufug.2025.128785,"Li, RH|Bai, ZC|Ye, C|Ablameyko, S|Ye, SP",2025,Urban green space vegetation height modeling and intelligent classification based on UAV multi-spectral and oblique high-resolution images,N/A,,,,Y,N,N/A,N/A,배제
814,10.1016/j.jag.2025.104888,"Yang, CB|Wang, HQ|Ren, ZB|Zhou, WQ",2025,Strengthening or weakening? Multi-year quantification and comparison of urban green space cooling effects and their key 2D/3D drivers,N/A,,,,Y,N,N/A,N/A,배제
815,10.1016/j.rse.2024.114119,"Lu, LL|Guo, HD|Weng, QH|Bartesaghi-Koc, C|Osmond, P|Li, QT",2024,A transferable approach to assessing green infrastructure types (GITs) and their effects on surface urban heat islands with multi-source geospatial data,N/A,,,,Y,N,N/A,N/A,배제
816,10.3390/f14071500,"Liu, JC|Wu, JT|Yang, Y|Zhang, BL|Yin, L",2023,Evaluation of the Seasonal Thermal Environmental Benefits of Urban Green Space in the Core Areas of Urban Heat Island,N/A,,,,Y,N,N/A,N/A,배제
817,10.1016/j.jag.2021.102610,"Wang, XM|Meng, QY|Zhang, LL|Hu, D",2021,Evaluation of urban green space in terms of thermal environmental benefits using geographical detector analysis,N/A,,,,Y,N,N/A,N/A,배제
818,10.1016/j.ufug.2025.128953,"Shen, N|Feng, F|Xu, CY|Li, XW|Chiriaco, MV|Lafortezza, R",2025,Drone-based assessment of urban green space structure and cooling capacity,N/A,,,,Y,N,N/A,N/A,배제
819,10.1038/s41598-025-07904-8,"Huang, ZT|Duan, L|Xu, YM|Yang, SY|Lin, ZY|Yue, H|Yang, JX",2025,Exploring the influence of urban green space and urban morphology on urban heat Islands using street view and satellite imagery,N/A,,,,N,Y,N/A,N/A,진행
820,10.1016/j.uclim.2025.102539,"Li, Q|Li, Q|Wu, HT|Chen, SS|Ishida, Y|Mochida, A|Liu, ZX",2025,Investigating the impact of evapotranspiration from urban green space vertical structures on microclimate through energy and water vapor transfer dynamics,N/A,,,,N,Y,N/A,N/A,진행
821,10.1016/j.ufug.2022.127635,"Wang, CC|Ren, ZB|Dong, YL|Zhang, P|Guo, YJ|Wang, WJ|Bao, GD",2022,Efficient cooling of cities at global scale using urban green space to mitigate urban heat island effects in different climatic regions,N/A,,,,N,Y,N/A,N/A,진행
822,10.1016/j.scitotenv.2022.156687,"Xu, C|Chen, GD|Huang, QY|Su, MR|Rong, QQ|Yue, WC|Haase, D",2022,Can improving the spatial equity of urban green space mitigate the effect of urban heat islands? An empirical study,N/A,,,,Y,N,N/A,N/A,배제
823,10.1016/j.scs.2022.104062,"Das, M|Das, A|Momin, S",2022,Quantifying the cooling effect of urban green space: A case from urban parks in a tropical mega metropolitan area (India),N/A,,,,N,Y,N/A,N/A,진행
824,10.3390/agronomy12092129,"Halder, B|Bandyopadhyay, J|Al-Hilali, AA|Ahmed, AM|Falah, MW|Abed, SA|Falih, KT|Khedher, KM|Scholz, M|Yaseen, ZM",2022,Assessment of Urban Green Space Dynamics Influencing the Surface Urban Heat Stress Using Advanced Geospatial Techniques,N/A,,,,N,Y,N/A,N/A,진행
825,10.15201/hungeobull.71.3.3,"Kolcsár, RA|Csete, AK|Kovacs-Gyori, A|Szilassi, P",2022,"Age-group-based evaluation of residents' urban green space provision: Szeged, Hungary. A case study",N/A,,,,Y,N,N/A,N/A,배제
826,10.1155/2022/5324854,"Wang, L",2022,RETRACTED: Energy Conservation Optimization and Numerical Simulation of Urban Green Space Landscape Pattern (Retracted Article),N/A,,,,N,N,철회논문/온열지표불명확,제목에 RETRACTED로 표시된 철회 논문으로 신뢰성에 문제가 있음 그리고 초록에서 정량적 온열환경 지표가 명확히 보고되지 않아 선정 기준에 부합하지 않음,배제
827,10.2166/wst.2024.014,"Gupta, A|De, BS",2024,"A systematic review on urban blue-green infrastructure in the south Asian region: recent advancements, applications, and challenges",N/A,,,,N,N,리뷰논문/열지표비특이,도시와 녹색인프라를 다루지만 체계적 문헌고찰로서 원자료 분석이 없고 결과변수가 도시 열환경 지표에 집중되지 않아 UHI 등은 단순 언급에 그쳐 포함기준에 부합하지 않음.,배제
828,10.1016/j.foar.2021.12.005,"Fu, JW|Dupre, K|Tavares, S|King, D|Banhalmi-Zakar, Z",2022,Optimized greenery configuration to mitigate urban heat: A decade systematic review,N/A,,,,N,Y,N/A,N/A,진행
829,10.3390/f15030463,"Delgado-Capel, MJ|Egea-Cariñanos, P|Cariñanos, P",2024,Assessing the Relationship between Land Surface Temperature and Composition Elements of Urban Green Spaces during Heat Waves Episodes in Mediterranean Cities,N/A,,,,Y,N,N/A,N/A,배제
830,10.1016/j.scs.2020.102698,"Liu, J|Zhang, L|Zhang, QP|Zhang, GL|Teng, JY",2021,Predicting the surface urban heat island intensity of future urban green space development using a multi-scenario simulation,N/A,,,,Y,N,N/A,N/A,배제
831,10.1016/j.ufug.2021.127154,"Huang, HC|Yang, HL|Chen, YL|Chen, TN|Bai, L|Peng, ZR",2021,"Urban green space optimization based on a climate health risk appraisal-A case study of Beijing city, China",N/A,,,,Y,N,N/A,N/A,배제
832,10.1016/j.heliyon.2024.e24912,"Khan, MS|Li, YL",2024,Comparative study and effects of urban green scape on the land surface temperature of a large metropolis and green city,N/A,,,,N,Y,N/A,N/A,진행
833,10.1016/j.ufug.2024.128462,"Li, X|Li, XM|Guldmann, JM|Cai, ZW|Liao, W|Yang, C|Qiu, QD",2024,"A novel approach to identify the microclimatic edge effect width of urban green spaces at the landscape level: A case study of Changsha, China",N/A,,,,N,Y,N/A,N/A,진행
834,10.1016/j.scs.2024.106087,"Zhang, Y|Ge, JT|Wang, SY|Dong, C",2025,Optimizing urban green space configurations for enhanced heat island mitigation: A geographically weighted machine learning approach,N/A,,,,Y,N,N/A,N/A,배제
835,10.1016/j.buildenv.2024.112190,"Guan, SY|Hu, HH",2025,Exploring the potential relationship between cooling green space and built-up area: Analysis of community green space characteristics based on GWPCA,N/A,,,,Y,N,N/A,N/A,배제
836,10.3390/f12070813,"Dang, H|Li, J|Zhang, YM|Zhou, ZX",2021,Evaluation of the Equity and Regional Management of Some Urban Green Space Ecosystem Services: A Case Study of Main Urban Area of Xi'an City,N/A,,,,N,Y,N/A,N/A,진행
837,10.1016/j.ufug.2024.128207,"Cui, LH|Shibata, S",2024,Exploring climate-adaptive green-space designs for hot and humid climates: Lessons from Japanese dry gardens,N/A,,,,Y,N,N/A,N/A,배제
838,10.1109/JSTARS.2024.3491219,"Wang, SH|Sun, CY|Huang, L|Shi, HD|Xu, XL|Han, DR|Gu, QB|Liu, HB",2024,The Diurnal Cooling Effect of Green Space Structure on the Summer Urban Thermal Environment From a High-Resolution Perspective,N/A,,,,Y,N,N/A,N/A,배제
839,10.3390/land13081297,"Zhang, GH|Du, CY|Ge, SD",2024,Key Factors Affecting Carbon-Saving Intensity and Efficiency Based on the Structure of Green Space,N/A,,,,Y,N,N/A,N/A,배제
840,10.3390/rs15092414,"Zhang, Y|Wang, YC|Ding, N|Yang, XY",2023,Assessing the Contributions of Urban Green Space Indices and Spatial Structure in Mitigating Urban Thermal Environment,N/A,,,,Y,N,N/A,N/A,배제
841,10.3390/su15043705,"Gallay, I|Olah, B|Murtinová, V|Gallayová, Z",2023,Quantification of the Cooling Effect and Cooling Distance of Urban Green Spaces Based on Their Vegetation Structure and Size as a Basis for Management Tools for Mitigating Urban Climate,N/A,,,,Y,N,N/A,N/A,배제
842,10.1007/s10708-020-10312-2,"Siddique, G|Roy, A|Mandal, MH|Ghosh, S|Basak, A|Singh, M|Mukherjee, N",2022,"An assessment on the changing status of urban green space in Asansol city, West Bengal",N/A,,,,Y,N,N/A,N/A,배제
843,10.1016/j.landurbplan.2025.105344,"Li, M|Liu, HM",2025,Enhancing the cooling effect of urban green infrastructure: An empirical analysis of interactive impacts and optimizing pathways over 310 Chinese cities,N/A,,,,Y,N,N/A,N/A,배제
844,10.1016/j.uclim.2018.02.001,"Saaroni, H|Amorim, JH|Hiemstra, JA|Pearlmutter, D",2018,Urban Green Infrastructure as a tool for urban heat mitigation: Survey of research methodologies and findings across different climatic regions,N/A,,,,Y,N,N/A,N/A,배제
845,10.1016/j.ufug.2023.128111,"Best, L|Schwarz, N|Obergh, D|Teuling, AJ|Van Kanten, R|Willemen, L",2023,Urban green spaces and variation in cooling in the humid tropics: The case of Paramaribo,N/A,,,,Y,N,N/A,N/A,배제
846,10.3390/f14122351,"Cordeiro, A|Ornelas, A|Lameiras, JM",2023,The Thermal Regulator Role of Urban Green Spaces: The Case of Coimbra (Portugal),N/A,,,,Y,N,N/A,N/A,배제
847,10.1016/j.enbuild.2019.02.003,"Xu, XY|Liu, SM|Sun, SB|Zhang, WW|Liu, Y|Lao, ZM|Guo, GC|Smith, K|Cui, Y|Liu, W|Garcia, EH|Zhu, JN",2019,Evaluation of energy saving potential of an urban green space and its water bodies,N/A,,,,Y,N,N/A,N/A,배제
848,10.3390/buildings15071032,"Zhu, TT|Wang, XY|Luo, YF|Qiu, H",2025,Systematic Exploration of the Effect of Urban Green Space on Land Surface Temperature: A Scientometric Analysis,N/A,,,,N,Y,N/A,N/A,진행
849,10.1016/j.scs.2025.106410,"Lu, YT|Wu, JY|Liu, MY",2025,Decoding the cooling potential of urban green spaces: A cross-city investigation of driving factors in 311 Chinese cities under varying climate zones,N/A,,,,Y,N,N/A,N/A,배제
850,10.1080/12265934.2023.2253200,"Sumaryana, H|Buchori, I|Sejati, AW",2024,Green infrastructure modelling for UHI control to urban thermal comfort: a case study of Temanggung urban area,N/A,,,,Y,N,N/A,N/A,배제
851,10.18494/SAM4189,"Cao, SY|Yin, WD|Su, JY|Feng, CW|Du, YC|Zhu, JY|Ye, N|Ding, JY|Li, YZ",2023,Spatial and Temporal Evolution of Multi-scale Green Space Environments and Urban Heat Islands: A Case Study of Beijing Sub-center,N/A,,,,N,Y,N/A,N/A,진행
852,10.1016/j.scs.2025.106597,"Jang, S|Jung, J",2025,Urban form and green space structure as drivers of urban heat mitigation,N/A,,,,Y,N,N/A,N/A,배제
853,10.3390/atmos10030151,"Maheng, D|Ducton, I|Lauwaet, D|Zevenbergen, C|Pathirana, A",2019,"The Sensitivity of Urban Heat Island to Urban Green Space-A Model-Based Study of City of Colombo, Sri Lanka",N/A,,,,N,Y,N/A,N/A,진행
854,10.1016/j.scs.2025.106843,"Bai, YJ|Xing, YG",2025,Harnessing green infrastructure for urban heat island mitigation: Evidence-based strategies for sustainable and climate-resilient cities,N/A,,,,N,Y,N/A,N/A,진행
855,10.1016/j.jenvman.2021.113116,"Yuan, B|Zhou, L|Dang, XW|Sun, DQ|Hu, FN|Mu, HW",2021,Separate and combined effects of 3D building features and urban green space on land surface temperature,N/A,,,,N,Y,N/A,N/A,진행
856,10.3390/land14081681,"Proutsos, ND|Solomou, AD|Stefanidis, SP",2025,From Bare Soil to Green Infrastructure: Micrometeorological Benefits from the Restoration of a Small Urban Park in a Mediterranean City,N/A,,,,Y,N,N/A,N/A,배제
857,10.1016/j.buildenv.2017.07.010,"Sun, SB|Xu, XY|Lao, ZM|Liu, W|Li, ZD|García, EH|He, L|Zhu, JN",2017,Evaluating the impact of urban green space and landscape design parameters on thermal comfort in hot summer by numerical simulation,N/A,,,,Y,N,N/A,N/A,배제
858,10.1016/j.jclepro.2020.124995,"Wang, YF|Ni, ZB|Hu, MM|Chen, SQ|Xia, BC",2021,A practical approach of urban green infrastructure planning to mitigate urban overheating: A case study of Guangzhou,N/A,,,,N,Y,N/A,N/A,진행
859,10.1016/j.jag.2021.102674,"Liu, K|Li, XK|Wang, SD|Gao, XJ",2022,"Assessing the effects of urban green landscape on urban thermal environment dynamic in a semiarid city by integrated use of airborne data, satellite imagery and land surface model",N/A,,,,Y,N,N/A,N/A,배제
860,10.1016/j.scitotenv.2023.164422,"Zhou, W|Yu, WD|Zhang, ZY|Cao, W|Wu, T",2023,How can urban green spaces be planned to mitigate urban heat island effect under different climatic backgrounds? A threshold-based perspective,N/A,,,,Y,N,N/A,N/A,배제
861,10.3389/fenvs.2022.977084,"Li, XH|Li, YR|Di, SC|Niu, Y|Zhang, CJ",2022,Evapotranspiration and land surface temperature of typical urban green spaces in a semi-humid region: Implications for green management,N/A,,,,Y,N,N/A,N/A,배제
862,10.1007/s10661-015-4943-2,"Wang, Y|Bakker, F|de Groot, R|Wörtche, H|Leemans, R",2015,Effects of urban green infrastructure (UGI) on local outdoor microclimate during the growing season,N/A,,,,Y,N,N/A,N/A,배제
863,10.3390/rs13245114,"Yang, LQ|Yu, KY|Ai, JW|Liu, YF|Lin, LL|Lin, LC|Liu, J",2021,"The Influence of Green Space Patterns on Land Surface Temperature in Different Seasons: A Case Study of Fuzhou City, China",N/A,,,,Y,N,N/A,N/A,배제
864,10.3390/su13052736,"Cui, LH|Rupprecht, CDD|Shibata, S",2021,Climate-Responsive Green-Space Design Inspired by Traditional Gardens: Microclimate and Human Thermal Comfort of Japanese Gardens,N/A,,,,Y,N,N/A,N/A,배제
865,10.3390/su15086735,"Sun, MJ|Zhao, XY|Wang, Y|Ren, ZQ|Fu, X",2023,"Factors Affecting the High-Intensity Cooling Distance of Urban Green Spaces: A Case Study of Xi'an, China",N/A,,,,Y,N,N/A,N/A,배제
866,10.1016/j.scs.2018.04.002,"Xiao, XD|Dong, L|Yan, HN|Yang, N|Xiong, YM",2018,The influence of the spatial characteristics of urban green space on the urban heat island effect in Suzhou Industrial Park,N/A,,,,N,Y,N/A,N/A,진행
867,10.1016/j.scs.2020.102261,"Verma, P|Singh, R|Bryant, C|Raghubanshi, AS",2020,"Green space indicators in a social-ecological system: A case study of Varanasi, India",N/A,,,,N,N,열환경지표없음,도시(바라나시)에서 녹지 분포·접근성 및 임계값을 분석했으나 결과변수에 도시 온열환경 지표(LST·UHI·열쾌적성 등)가 포함되지 않음,배제
868,10.3390/su11020513,"Amani-Beni, M|Zhang, B|Xie, GD|Shi, YT",2019,"Impacts of Urban Green Landscape Patterns on Land Surface Temperature: Evidence from the Adjacent Area of Olympic Forest Park of Beijing, China",N/A,,,,Y,N,N/A,N/A,배제
869,10.1007/s11252-016-0586-5,"Greene, CS|Millward, AA",2017,Getting closure: The role of urban forest canopy density in moderating summer surface temperatures in a large city,N/A,,,,N,Y,N/A,N/A,진행
870,N/A,"Yang, Y|Wang, JM|Liu, J|Zhang, CY",2019,"ASSESSING THE EFFECTIVENESS OF PLANT COMMUNITY STRUCTURE IN COOLING, HUMIDIFYING, AND BIOCLIMATIC COMFORT IN SEMI-ARID URBAN GREEN SPACES",N/A,,,,N,Y,N/A,N/A,진행
871,10.1016/j.jenvman.2025.124446,"Lopes, HS|Vidal, DG|Cherif, N|Silva, L|Remoaldo, PC",2025,"Green infrastructure and its influence on urban heat island, heat risk, and air pollution: A case study of Porto (Portugal)",N/A,,,,Y,N,N/A,N/A,배제
872,10.1016/j.uclim.2023.101624,"Gangwisch, M|Saha, S|Matzarakis, A",2023,"Spatial neighborhood analysis linking urban morphology and green infrastructure to atmospheric conditions in Karlsruhe, Germany",N/A,,,,Y,N,N/A,N/A,배제
873,10.1016/j.ufug.2014.09.009,"Kong, FH|Yin, HW|Wang, CZ|Cavan, G|James, P",2014,A satellite image-based analysis of factors contributing to the green-space cool island intensity on a city scale,N/A,,,,Y,N,N/A,N/A,배제
874,10.3390/su17136132,"Lin, HQ|Li, X",2025,The Role of Urban Green Spaces in Mitigating the Urban Heat Island Effect: A Systematic Review from the Perspective of Types and Mechanisms,N/A,,,,N,Y,N/A,N/A,진행
875,10.1016/j.scs.2024.105414,"Ouyang, LM|Yang, YK|Wu, ZQ|Jiang, QR|Qiao, RL",2024,Towards inclusive urbanism: An examination of urban environment strategies for enhancing social equity in Chengdu's housing zones,N/A,,,,N,Y,N/A,N/A,진행
876,10.1016/j.ufug.2024.128343,"Leppänen, PK|Kinnunen, A|Hautamäki, R|Järvi, L|Havu, M|Junnila, S|Tahvonen, O",2024,"Impact of changing urban typologies on residential vegetation and its climate-effects - A case study from Helsinki, Finland",N/A,,,,Y,N,N/A,N/A,배제
877,10.1016/j.buildenv.2025.112768,"Dong, X|Feng, XT|He, BJ",2025,Dual potential of Garden Rooftop Farms for heat island mitigation and spatial productivity,N/A,,,,Y,N,N/A,N/A,배제
878,10.3390/su10041101,"Huang, M|Cui, P|He, X",2018,Study of the Cooling Effects of Urban Green Space in Harbin in Terms of Reducing the Heat Island Effect,N/A,,,,N,Y,N/A,N/A,진행
879,10.1080/17538947.2024.2358867,"Na, N|Lou, D|Xu, DD|Ni, XH|Liu, YQ|Wang, HB",2024,Measuring the cooling effects of green cover on urban heat island effects using Landsat satellite imagery,N/A,,,,Y,N,N/A,N/A,배제
880,10.1007/s10980-024-02036-2,"Han, MX|Zhang, TT|Si, Z",2025,Optimizing urban blue-green space in climate adaptive planning: a systematic review of threshold value of efficiency thresholds,N/A,,,,N,Y,N/A,N/A,진행
881,10.1016/j.scs.2025.106374,"An, L|Hang, J|Zhao, YJ|Zeng, LY|Dong, HY|Zhao, YG|Zhao, N",2025,Cooling effects of tree transpiration: A CFD simulation study on heterogeneous tree canopy configurations (TCCs),N/A,,,,Y,N,N/A,N/A,배제
882,10.3390/f15111946,"Yan, ZY|Wu, TJ|Xuan, L|Li, WR|Wang, XH|Dong, LD|Yu, KH|Wang, Y",2024,"The Scale-Dependent Differences in Cooling Efficiency of UGS in Different Functional Areas: A Case Study of Xi'an, China",N/A,,,,N,Y,N/A,N/A,진행
883,10.3390/land14071330,"Wang, M|Su, YQ|Wang, JQ",2025,How to Improve Blue-Green-Gray Infrastructure to Optimize River Cooling Island Effect on Riparian Zone for Outdoor Activities in Summer,N/A,,,,Y,N,N/A,N/A,배제
884,10.1016/j.scitotenv.2022.160712,"Zhou, W|Cao, W|Wu, T|Zhang, T",2023,The win-win interaction between integrated blue and green space on urban cooling,N/A,,,,Y,N,N/A,N/A,배제
885,10.1016/j.uclim.2023.101791,"Yuan, B|Zhou, L|Hu, FN|Wei, CZ",2024,"Effects of 2D/3D urban morphology on land surface temperature: Contribution, response, and interaction",N/A,,,,N,Y,N/A,N/A,진행
886,10.26471/cjees/2025/020/338,"Rahimi, A|Ioja, CI|Khoramrou, S|Nobar, Z",2025,MODELLING NATURE-BASED SOLUTIONS IN DENSELY BUILT-UP AREAS,N/A,,,,Y,N,N/A,N/A,배제
887,10.1016/j.uclim.2022.101398,"Lai, DY|Liu, YQ|Liao, MC|Yu, BQ",2023,Effects of different tree layouts on outdoor thermal comfort of green space in summer Shanghai,N/A,,,,Y,N,N/A,N/A,배제
888,10.1139/er-2025-0104,"Masoudi, M|Ferguson, J|Khan, A|Liu, G|Skoyles, A|Drescher, M",2025,Synthesizing the evidence on green and blue infrastructure for urban temperature mitigation in Canada,N/A,,,,N,Y,N/A,N/A,진행
889,10.1016/j.apgeog.2016.10.008,"Kim, HW|Park, Y",2016,Urban green infrastructure and local flooding: The impact of landscape patterns on peak runoff in four Texas MSAs,N/A,,,,N,N,열환경지표 아님(피크유출),도시 지역에서 녹지의 형태·구성 지표를 분석하지만 결과변수가 도시 열환경 지표가 아니라 강우 피크유출이므로 제외,배제
890,10.3390/su17198547,"Yang, HR|Li, YH|Wu, WJ|Zhao, AL|Zhang, H",2025,Exploring the Complex Relationships Between Influential Factors of Urban Land Development Patterns and Urban Thermal Environment: A Study on Downtown Shanghai,N/A,,,,N,Y,N/A,N/A,진행
891,10.1016/j.buildenv.2022.109723,"Zhang, MR|Zhang, F|Chen, DS|Tan, ML|Chan, NW",2022,Urban local surface temperature prediction using the urban gray-green space landscape and vegetation indices,N/A,,,,N,Y,N/A,N/A,진행
892,10.1007/s11252-025-01769-5,"Sökmen, ED|Aksoy, O",2025,Evaluation of climate justice in open green spaces based on landscape metrics: the case of Istanbul,N/A,,,,Y,N,N/A,N/A,배제
893,10.1016/j.ufug.2023.127886,"Amores, TRP|Ramos, JS|Delgado, MG|Medina, DC|Cerezo-Narvaéz, A|Domínguez, SA",2023,Effect of green infrastructures supported by adaptative solar shading systems on livability in open spaces,N/A,,,,Y,N,N/A,N/A,배제
894,10.1016/j.scs.2023.104734,"Lee, HYJ|Lim, H|Park, S",2023,"Quantitative assessment of green coverage changes under the human-biometeorological perspective: A simulation case study in Jeju, Republic of Korea",N/A,,,,Y,N,N/A,N/A,배제
895,10.3389/fenvs.2021.657969,"Wu, CY|Li, JX|Wang, CF|Song, CH|Haase, D|Breuste, J|Finka, M",2021,"Estimating the Cooling Effect of Pocket Green Space in High Density Urban Areas in Shanghai, China",N/A,,,,Y,N,N/A,N/A,배제
896,10.1016/j.ufug.2021.127325,"Chang, HS|Lin, ZH|Hsu, YY",2021,"Planning for green infrastructure and mapping synergies and trade-offs: A case study in the Yanshuei River Basin, Taiwan",N/A,,,,N,N,결과변수 열환경 지표 아님,도시 녹지 인프라 계획 연구이나 결과는 유출량 및 접근성 평가로 한정되어 도시 열환경 지표를 다루지 않음,배제
897,10.1016/j.buildenv.2021.108233,"Erlwein, S|Zölch, T|Pauleit, S",2021,Regulating the microclimate with urban green in densifiying cities: Joint assessment on two scales,N/A,,,,N,Y,N/A,N/A,진행
898,10.1016/j.scitotenv.2022.157662,"Zhou, Y|Zhao, HL|Mao, SC|Zhang, GL|Jin, YL|Luo, YC|Huo, W|Pan, ZH|An, PL|Lun, F",2022,Exploring surface urban heat island (SUHI) intensity and its implications based on urban 3D neighborhood metrics: An investigation of 57 Chinese cities,N/A,,,,Y,N,N/A,N/A,배제
899,10.3390/su15042969,"Zhang, L|Xu, HY|Pan, JB",2023,Investigating the Relationship between Landscape Design Types and Human Thermal Comfort: Case Study of Beijing Olympic Forest Park,N/A,,,,Y,N,N/A,N/A,배제
900,10.1371/journal.pone.0260205,"Yin, SS|Liu, JT|Han, ZL",2022,Relationship between urban morphology and land surface temperature-A case study of Nanjing City,N/A,,,,N,Y,N/A,N/A,진행
901,10.3390/su12176850,"Song, Y|Song, XD|Shao, GF",2020,Effects of Green Space Patterns on Urban Thermal Environment at Multiple Spatial-Temporal Scales,N/A,,,,N,Y,N/A,N/A,진행
902,10.1016/j.scs.2022.103965,"Zhang, H|Zhao, X|Kang, MY|Han, JJ",2022,Contrasting changes in fine-scale land use structure and summertime thermal environment in downtown Shanghai,N/A,,,,Y,N,N/A,N/A,배제
903,10.1016/j.scitotenv.2019.133742,"Wu, CY|Li, JX|Wang, CF|Song, CH|Chen, Y|Finka, M|La Rosa, D",2019,Understanding the relationship between urban blue infrastructure and land surface temperature,N/A,,,,Y,N,N/A,N/A,배제
904,10.1016/j.scitotenv.2022.153648,"Reyhani, M|Santolini, E|Torreggiani, D|Tassinari, P",2022,Assessing the environmental performance of plastic-based and felt-based green wall systems in a life-cycle perspective,N/A,,,,Y,N,N/A,N/A,배제
